,x
county1,Autauga County
county2,Autauga County
county3,Autauga County
county4,Autauga County
county5,Autauga County
county6,Autauga County
county7,Autauga County
county8,Autauga County
county9,Autauga County
county10,Baldwin County
county11,Baldwin County
county12,Baldwin County
county13,Baldwin County
county14,Baldwin County
county15,Baldwin County
county16,Baldwin County
county17,Baldwin County
county18,Baldwin County
county19,Baldwin County
county20,Baldwin County
county21,Baldwin County
county22,Baldwin County
county23,Baldwin County
county24,Baldwin County
county25,Baldwin County
county26,Baldwin County
county27,Baldwin County
county28,Baldwin County
county29,Baldwin County
county30,Baldwin County
county31,Baldwin County
county32,Baldwin County
county33,Baldwin County
county34,Baldwin County
county35,Baldwin County
county36,Baldwin County
county37,Baldwin County
county38,Baldwin County
county39,Baldwin County
county40,Baldwin County
county41,Baldwin County
county42,Barbour County
county43,Barbour County
county44,Barbour County
county45,Barbour County
county46,Barbour County
county47,Barbour County
county48,Barbour County
county49,Barbour County
county50,Bibb County
county51,Bibb County
county52,Bibb County
county53,Bibb County
county54,Bibb County
county55,Blount County
county56,Blount County
county57,Blount County
county58,Blount County
county59,Blount County
county60,Blount County
county61,Bullock County
county62,Bullock County
county63,Butler County
county64,Butler County
county65,Butler County
county66,Butler County
county67,Butler County
county68,Butler County
county69,Butler County
county70,Butler County
county71,Butler County
county72,Calhoun County
county73,Calhoun County
county74,Calhoun County
county75,Calhoun County
county76,Calhoun County
county77,Calhoun County
county78,Calhoun County
county79,Calhoun County
county80,Calhoun County
county81,Calhoun County
county82,Calhoun County
county83,Calhoun County
county84,Calhoun County
county85,Calhoun County
county86,Calhoun County
county87,Calhoun County
county88,Calhoun County
county89,Calhoun County
county90,Chambers County
county91,Chambers County
county92,Chambers County
county93,Chambers County
county94,Chambers County
county95,Chambers County
county96,Chambers County
county97,Chambers County
county98,Cherokee County
county99,Cherokee County
county100,Cherokee County
county101,Cherokee County
county102,Cherokee County
county103,Cherokee County
county104,Cherokee County
county105,Cherokee County
county106,Chilton County
county107,Chilton County
county108,Chilton County
county109,Chilton County
county110,Chilton County
county111,Chilton County
county112,Chilton County
county113,Chilton County
county114,Chilton County
county115,Chilton County
county116,Chilton County
county117,Chilton County
county118,Chilton County
county119,Choctaw County
county120,Choctaw County
county121,Choctaw County
county122,Choctaw County
county123,Clarke County
county124,Clarke County
county125,Clarke County
county126,Clarke County
county127,Clarke County
county128,Clarke County
county129,Clarke County
county130,Clarke County
county131,Clarke County
county132,Clarke County
county133,Clarke County
county134,Clarke County
county135,Clay County
county136,Clay County
county137,Clay County
county138,Cleburne County
county139,Cleburne County
county140,Cleburne County
county141,Cleburne County
county142,Cleburne County
county143,Coffee County
county144,Coffee County
county145,Coffee County
county146,Coffee County
county147,Coffee County
county148,Coffee County
county149,Coffee County
county150,Coffee County
county151,Coffee County
county152,Coffee County
county153,Coffee County
county154,Coffee County
county155,Colbert County
county156,Colbert County
county157,Colbert County
county158,Colbert County
county159,Colbert County
county160,Colbert County
county161,Colbert County
county162,Colbert County
county163,Colbert County
county164,Colbert County
county165,Colbert County
county166,Colbert County
county167,Colbert County
county168,Colbert County
county169,Colbert County
county170,Colbert County
county171,Colbert County
county172,Conecuh County
county173,Conecuh County
county174,Conecuh County
county175,Conecuh County
county176,Conecuh County
county177,Coosa County
county178,Coosa County
county179,Covington County
county180,Covington County
county181,Covington County
county182,Covington County
county183,Covington County
county184,Covington County
county185,Covington County
county186,Covington County
county187,Covington County
county188,Covington County
county189,Covington County
county190,Crenshaw County
county191,Crenshaw County
county192,Crenshaw County
county193,Crenshaw County
county194,Cullman County
county195,Cullman County
county196,Cullman County
county197,Cullman County
county198,Cullman County
county199,Cullman County
county200,Cullman County
county201,Cullman County
county202,Cullman County
county203,Cullman County
county204,Cullman County
county205,Cullman County
county206,Cullman County
county207,Cullman County
county208,Cullman County
county209,Cullman County
county210,Cullman County
county211,Cullman County
county212,Dale County
county213,Dale County
county214,Dale County
county215,Dale County
county216,Dale County
county217,Dale County
county218,Dale County
county219,Dale County
county220,Dale County
county221,Dale County
county222,Dale County
county223,Dale County
county224,Dale County
county225,Dale County
county226,Dallas County
county227,Dallas County
county228,Dallas County
county229,Dallas County
county230,Dallas County
county231,Dallas County
county232,Dallas County
county233,Dallas County
county234,Dallas County
county235,Dallas County
county236,Dallas County
county237,Dallas County
county238,Dallas County
county239,Dallas County
county240,Dallas County
county241,DeKalb County
county242,DeKalb County
county243,DeKalb County
county244,DeKalb County
county245,DeKalb County
county246,DeKalb County
county247,DeKalb County
county248,DeKalb County
county249,DeKalb County
county250,DeKalb County
county251,DeKalb County
county252,DeKalb County
county253,DeKalb County
county254,DeKalb County
county255,DeKalb County
county256,DeKalb County
county257,Elmore County
county258,Elmore County
county259,Elmore County
county260,Elmore County
county261,Elmore County
county262,Elmore County
county263,Elmore County
county264,Elmore County
county265,Escambia County
county266,Escambia County
county267,Escambia County
county268,Escambia County
county269,Escambia County
county270,Escambia County
county271,Escambia County
county272,Escambia County
county273,Escambia County
county274,Escambia County
county275,Etowah County
county276,Etowah County
county277,Etowah County
county278,Etowah County
county279,Etowah County
county280,Etowah County
county281,Etowah County
county282,Etowah County
county283,Etowah County
county284,Etowah County
county285,Etowah County
county286,Etowah County
county287,Etowah County
county288,Etowah County
county289,Etowah County
county290,Etowah County
county291,Etowah County
county292,Etowah County
county293,Etowah County
county294,Etowah County
county295,Etowah County
county296,Fayette County
county297,Fayette County
county298,Fayette County
county299,Fayette County
county300,Fayette County
county301,Franklin County
county302,Franklin County
county303,Franklin County
county304,Franklin County
county305,Franklin County
county306,Franklin County
county307,Franklin County
county308,Franklin County
county309,Franklin County
county310,Geneva County
county311,Geneva County
county312,Geneva County
county313,Geneva County
county314,Geneva County
county315,Geneva County
county316,Geneva County
county317,Geneva County
county318,Greene County
county319,Greene County
county320,Greene County
county321,Greene County
county322,Greene County
county323,Greene County
county324,Hale County
county325,Hale County
county326,Hale County
county327,Hale County
county328,Hale County
county329,Hale County
county330,Hale County
county331,Henry County
county332,Henry County
county333,Henry County
county334,Henry County
county335,Henry County
county336,Henry County
county337,Henry County
county338,Henry County
county339,Houston County
county340,Houston County
county341,Houston County
county342,Houston County
county343,Houston County
county344,Houston County
county345,Houston County
county346,Houston County
county347,Houston County
county348,Houston County
county349,Houston County
county350,Houston County
county351,Houston County
county352,Houston County
county353,Houston County
county354,Houston County
county355,Houston County
county356,Houston County
county357,Houston County
county358,Houston County
county359,Houston County
county360,Houston County
county361,Houston County
county362,Jackson County
county363,Jackson County
county364,Jackson County
county365,Jackson County
county366,Jackson County
county367,Jackson County
